antecedents_str,consequents_str,support,confidence,lift,rule,support_pct
Total Plain Greek Strained Yogurt,Serrano Chile Peppers,0.0188679245283018,1.0,53.0,Total Plain Greek Strained Yogurt → Serrano Chile Peppers,1.89
Serrano Chile Peppers,Total Plain Greek Strained Yogurt,0.0188679245283018,1.0,53.0,Serrano Chile Peppers → Total Plain Greek Strained Yogurt,1.89
Whole Organic Omega 3 Milk,Original Pure Creamy Almond Milk,0.0188679245283018,1.0,53.0,Whole Organic Omega 3 Milk → Original Pure Creamy Almond Milk,1.89
Original Pure Creamy Almond Milk,Whole Organic Omega 3 Milk,0.0188679245283018,1.0,53.0,Original Pure Creamy Almond Milk → Whole Organic Omega 3 Milk,1.89
Organic Popcorn,Organic Whole String Cheese,0.0188679245283018,1.0,53.0,Organic Popcorn → Organic Whole String Cheese,1.89
Organic Whole String Cheese,Organic Popcorn,0.0188679245283018,1.0,53.0,Organic Whole String Cheese → Organic Popcorn,1.89
Organic Unsalted Butter,Organic Heavy Whipping Cream,0.0188679245283018,1.0,53.0,Organic Unsalted Butter → Organic Heavy Whipping Cream,1.89
Grape White/Green Seedless,Blue Cheese Crumbles,0.0188679245283018,1.0,53.0,Grape White/Green Seedless → Blue Cheese Crumbles,1.89
Blue Cheese Crumbles,Grape White/Green Seedless,0.0188679245283018,1.0,53.0,Blue Cheese Crumbles → Grape White/Green Seedless,1.89
Total 0% Greek Yogurt,Organic Hot House Tomato,0.0188679245283018,1.0,53.0,Total 0% Greek Yogurt → Organic Hot House Tomato,1.89
Organic Hot House Tomato,Total 0% Greek Yogurt,0.0188679245283018,1.0,53.0,Organic Hot House Tomato → Total 0% Greek Yogurt,1.89
Chopped Pecans,Organic Romaine Lettuce,0.0188679245283018,1.0,53.0,Chopped Pecans → Organic Romaine Lettuce,1.89
Muscat Grapes,Organic Banana,0.0188679245283018,1.0,53.0,Muscat Grapes → Organic Banana,1.89
Organic Banana,Muscat Grapes,0.0188679245283018,1.0,53.0,Organic Banana → Muscat Grapes,1.89
Organic Romaine Lettuce,Chopped Pecans,0.0188679245283018,1.0,53.0,Organic Romaine Lettuce → Chopped Pecans,1.89
Organic Heavy Whipping Cream,Organic Unsalted Butter,0.0188679245283018,1.0,53.0,Organic Heavy Whipping Cream → Organic Unsalted Butter,1.89
Tempt Unsweetened Original Hemp Milk,Bag of Organic Bananas,0.0188679245283018,1.0,53.0,Tempt Unsweetened Original Hemp Milk → Bag of Organic Bananas,1.89
Organic Hearts Of Romaine,Organic Unsweetened Almond Milk,0.0188679245283018,1.0,53.0,Organic Hearts Of Romaine → Organic Unsweetened Almond Milk,1.89
Organic Unsweetened Almond Milk,Organic Hearts Of Romaine,0.0188679245283018,1.0,53.0,Organic Unsweetened Almond Milk → Organic Hearts Of Romaine,1.89
Organic 1% Low Fat Milk,Mexican Style Taco Shredded Cheese,0.0188679245283018,1.0,53.0,Organic 1% Low Fat Milk → Mexican Style Taco Shredded Cheese,1.89
Mexican Style Taco Shredded Cheese,Organic 1% Low Fat Milk,0.0188679245283018,1.0,53.0,Mexican Style Taco Shredded Cheese → Organic 1% Low Fat Milk,1.89
Celery Heart,Asparagus,0.0188679245283018,1.0,53.0,Celery Heart → Asparagus,1.89
Asparagus,Celery Heart,0.0188679245283018,1.0,53.0,Asparagus → Celery Heart,1.89
Roma Tomato,Natural Medium Cheddar Cheese,0.0188679245283018,1.0,53.0,Roma Tomato → Natural Medium Cheddar Cheese,1.89
Natural Medium Cheddar Cheese,Roma Tomato,0.0188679245283018,1.0,53.0,Natural Medium Cheddar Cheese → Roma Tomato,1.89
Mandarin Oranges,Organic Whole Milk Plain Kefir,0.0188679245283018,1.0,53.0,Mandarin Oranges → Organic Whole Milk Plain Kefir,1.89
