antecedents_str,consequents_str,support,confidence,lift
Total Plain Greek Strained Yogurt,Serrano Chile Peppers,0.018867924528301886,1.0,53.0
Serrano Chile Peppers,Total Plain Greek Strained Yogurt,0.018867924528301886,1.0,53.0
Whole Organic Omega 3 Milk,Original Pure Creamy Almond Milk,0.018867924528301886,1.0,53.0
Original Pure Creamy Almond Milk,Whole Organic Omega 3 Milk,0.018867924528301886,1.0,53.0
Organic Popcorn,Organic Whole String Cheese,0.018867924528301886,1.0,53.0
Organic Whole String Cheese,Organic Popcorn,0.018867924528301886,1.0,53.0
Organic Unsalted Butter,Organic Heavy Whipping Cream,0.018867924528301886,1.0,53.0
Grape White/Green Seedless,Blue Cheese Crumbles,0.018867924528301886,1.0,53.0
Blue Cheese Crumbles,Grape White/Green Seedless,0.018867924528301886,1.0,53.0
Total 0% Greek Yogurt,Organic Hot House Tomato,0.018867924528301886,1.0,53.0
Organic Hot House Tomato,Total 0% Greek Yogurt,0.018867924528301886,1.0,53.0
Chopped Pecans,Organic Romaine Lettuce,0.018867924528301886,1.0,53.0
Muscat Grapes,Organic Banana,0.018867924528301886,1.0,53.0
Organic Banana,Muscat Grapes,0.018867924528301886,1.0,53.0
Organic Romaine Lettuce,Chopped Pecans,0.018867924528301886,1.0,53.0
Organic Heavy Whipping Cream,Organic Unsalted Butter,0.018867924528301886,1.0,53.0
Tempt Unsweetened Original Hemp Milk,Bag of Organic Bananas,0.018867924528301886,1.0,53.0
Organic Hearts Of Romaine,Organic Unsweetened Almond Milk,0.018867924528301886,1.0,53.0
Organic Unsweetened Almond Milk,Organic Hearts Of Romaine,0.018867924528301886,1.0,53.0
Organic 1% Low Fat Milk,Mexican Style Taco Shredded Cheese,0.018867924528301886,1.0,53.0
Mexican Style Taco Shredded Cheese,Organic 1% Low Fat Milk,0.018867924528301886,1.0,53.0
Celery Heart,Asparagus,0.018867924528301886,1.0,53.0
Asparagus,Celery Heart,0.018867924528301886,1.0,53.0
Roma Tomato,Natural Medium Cheddar Cheese,0.018867924528301886,1.0,53.0
Natural Medium Cheddar Cheese,Roma Tomato,0.018867924528301886,1.0,53.0
Mandarin Oranges,Organic Whole Milk Plain Kefir,0.018867924528301886,1.0,53.0
Organic Whole Milk Plain Kefir,Mandarin Oranges,0.018867924528301886,1.0,53.0
Organic Apricots,Garlic & Fine Herbs Gournay Cheese,0.018867924528301886,1.0,53.0
Garlic & Fine Herbs Gournay Cheese,Organic Apricots,0.018867924528301886,1.0,53.0
Carrots,Organic Italian Parsley Bunch,0.018867924528301886,1.0,53.0
Organic Italian Parsley Bunch,Carrots,0.018867924528301886,1.0,53.0
Orange Bell Pepper,Organic Raspberries,0.018867924528301886,1.0,53.0
Organic Raspberries,Orange Bell Pepper,0.018867924528301886,1.0,53.0
Red Peppers,BioKefir Pomegranate & Blueberry Flavor Cultured Milk,0.018867924528301886,1.0,53.0
BioKefir Pomegranate & Blueberry Flavor Cultured Milk,Red Peppers,0.018867924528301886,1.0,53.0
Yellow Onions,Sweet Potato Yam,0.018867924528301886,1.0,53.0
Sweet Potato Yam,Yellow Onions,0.018867924528301886,1.0,53.0
Michigan Organic Kale,Organic Large Extra Fancy Fuji Apple,0.018867924528301886,1.0,53.0
Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,"Milk, Goat",0.018867924528301886,1.0,53.0
"Milk, Goat",Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,0.018867924528301886,1.0,53.0
100& Whole Grain Ranch Crackers,Wheat Thins Reduced Fat Crackers,0.018867924528301886,1.0,53.0
Wheat Thins Reduced Fat Crackers,100& Whole Grain Ranch Crackers,0.018867924528301886,1.0,53.0
